scene,width,height,spp,depth,threads,schedule,tile_size,run,ms,pixels_per_sec
simple,800,450,16,8,1,serial,32,1,2392.782,150452.5
simple,800,450,16,8,1,serial,32,2,2465.788,145997.9
simple,800,450,16,8,1,serial,32,3,2411.282,149298.2
simple,800,450,16,8,1,serial,32,4,2411.704,149272.0
simple,800,450,16,8,1,serial,32,5,2448.822,147009.4
simple,800,450,16,8,2,serial,32,1,2386.183,150868.5
simple,800,450,16,8,2,serial,32,2,2280.307,157873.5
simple,800,450,16,8,2,serial,32,3,2456.214,146567.0
simple,800,450,16,8,2,serial,32,4,2467.704,145884.6
simple,800,450,16,8,2,serial,32,5,2274.487,158277.5
simple,800,450,16,8,4,serial,32,1,2418.039,148881.0
simple,800,450,16,8,4,serial,32,2,2451.600,146842.9
simple,800,450,16,8,4,serial,32,3,2369.505,151930.5
simple,800,450,16,8,4,serial,32,4,2353.411,152969.4
simple,800,450,16,8,4,serial,32,5,2458.313,146441.9
simple,800,450,16,8,8,serial,32,1,2427.463,148303.0
simple,800,450,16,8,8,serial,32,2,2397.132,150179.5
simple,800,450,16,8,8,serial,32,3,2416.232,148992.3
simple,800,450,16,8,8,serial,32,4,2426.085,148387.2
simple,800,450,16,8,8,serial,32,5,2396.421,150224.0
simple,800,450,16,8,1,static,32,1,2412.522,149221.4
simple,800,450,16,8,1,static,32,2,2425.281,148436.4
simple,800,450,16,8,1,static,32,3,2383.394,151045.1
simple,800,450,16,8,1,static,32,4,2383.679,151027.1
simple,800,450,16,8,1,static,32,5,2449.750,146953.8
simple,800,450,16,8,2,static,32,1,1431.243,251529.5
simple,800,450,16,8,2,static,32,2,1376.684,261497.9
simple,800,450,16,8,2,static,32,3,1390.668,258868.3
simple,800,450,16,8,2,static,32,4,1391.124,258783.5
simple,800,450,16,8,2,static,32,5,1390.238,258948.4
simple,800,450,16,8,4,static,32,1,902.353,398956.8
simple,800,450,16,8,4,static,32,2,906.629,397075.2
simple,800,450,16,8,4,static,32,3,919.909,391343.0
simple,800,450,16,8,4,static,32,4,924.050,389589.4
simple,800,450,16,8,4,static,32,5,912.856,394366.7
simple,800,450,16,8,8,static,32,1,483.151,745109.3
simple,800,450,16,8,8,static,32,2,601.696,598309.1
simple,800,450,16,8,8,static,32,3,483.084,745211.4
simple,800,450,16,8,8,static,32,4,630.296,571160.3
simple,800,450,16,8,8,static,32,5,480.939,748535.8
simple,800,450,16,8,1,dynamic,32,1,2427.106,148324.8
simple,800,450,16,8,1,dynamic,32,2,2433.459,147937.6
simple,800,450,16,8,1,dynamic,32,3,2395.825,150261.4
simple,800,450,16,8,1,dynamic,32,4,2398.461,150096.3
simple,800,450,16,8,1,dynamic,32,5,2427.889,148276.9
simple,800,450,16,8,2,dynamic,32,1,1216.228,295997.1
simple,800,450,16,8,2,dynamic,32,2,1214.112,296513.0
simple,800,450,16,8,2,dynamic,32,3,1217.327,295729.9
simple,800,450,16,8,2,dynamic,32,4,1220.358,294995.5
simple,800,450,16,8,2,dynamic,32,5,1215.855,296087.9
simple,800,450,16,8,4,dynamic,32,1,613.869,586444.3
simple,800,450,16,8,4,dynamic,32,2,614.083,586239.8
simple,800,450,16,8,4,dynamic,32,3,616.785,583671.7
simple,800,450,16,8,4,dynamic,32,4,615.633,584763.5
simple,800,450,16,8,4,dynamic,32,5,617.452,583041.2
simple,800,450,16,8,8,dynamic,32,1,329.060,1094024.9
simple,800,450,16,8,8,dynamic,32,2,352.661,1020811.8
simple,800,450,16,8,8,dynamic,32,3,337.262,1067418.1
simple,800,450,16,8,8,dynamic,32,4,317.046,1135482.8
simple,800,450,16,8,8,dynamic,32,5,365.979,983664.0
